MenuId,ProductName,ProductDescription
1257,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1257,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1257,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1257,Barefoot Pink Moscato,This is a deep Rosé wine with a floral and fruity bouquet with hints of cherry. Refreshing on the palate bursting with wild berries flavour.
1257,Barefoot Refresh Crisp Perfectly Pink,Mandarin with peach and flavours of raspberry.
1257,Barefoot White Zinfandel,"A medium bodied wine with floral notes and deliciously fruity with raspberry, strawberry and watermelon."
1257,Basking Lizards Shiraz Rose,Clean bouquet with inviting scent of strawberry and plum. Crispy palate with rich fruit flavours and subtle spiciness.
1257,Blossom Hill White Zinfandel,"A superb fruity wine with aromas and flavours of strawberries, rhubarb and watermelon. Medium sweet and very moreish."
1257,Chandon Brut Rose,Fresh and creamy flavours of strawberry and vanilla.
1257,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1257,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1257,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1257,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1257,Armand de Brignac Brut Gold,"Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines."
1257,Ayala Brut Majeur,"Light gold in colour, with a delicate mousse. The nose unveils expressive notes of citrus, florals and white fruits. Well balanced with a delicate complexity, Chardonnay adds a lively, fresh fruitiness on the palate, whilst Pinot Noir gives the wine richness and length."
1257,Bollinger Rose NV,"Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants."
1257,Bollinger Special Cuvee NV,"Bollinger is one of the oldest family houses still in existence in Champagne, their methods have little changed and their wines are still outstanding."
1257,Charles de Floricourt Brut,"A crisp, fresh and fruity Champagne with a lasting finish."
1262,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1262,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1262,Adnams Broadside,
1262,7Up Free,
1263,500ml Diet Coke Citrus Zest,
1263,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1264,7Up,
1264,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1271,B.L.T Testing,"A Southern American take on a British summertime classic.  Bulleit Bourbon, tonic and a  lemon wedge"
1271,BAILEYS LATTE,"The classic drink that's an espresso lengthened by hot milk is enriched and lifted by a pour of delicious Baileys Original Irish Cream, adding a subtle creaminess"
1271,Baileys Arctic Orange,Enjoy a cool blend of Baileys and Grand Marnier lavishly blended with real vanilla ice cream
1271,Baileys & Coffee (Hitchhiker),Coffee with a Baileys Original chaser on the side!
1271,Baileys Americano,Add a little Baileys to your coffee!
1271,BAILEYS HOT CHOCOLATE,"Decadent & delicious, creamy Baileys and hot chocolate. What's not to like?"
1271,Baileys & Coffee (Nordics & Eastn Eur),Add a little Baileys to your coffee!
1271,Baileys Birthday cake,Baileys topped with whipped cream and sprinkles
1278,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1278,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1278,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1278,Andes Peak Sauvignon Blanc,"A medium bodied, soft round wine."
1278,Barefoot Pink Moscato,This is a deep Rosé wine with a floral and fruity bouquet with hints of cherry. Refreshing on the palate bursting with wild berries flavour.
1278,Bollinger Rose NV,"Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants."
1278,Moet & Chandon Brut Imperial NV,"Slightly appley, yeasty nose and long, rich flavours of biscuity, toasty fruit."
1278,Adnams Ghost Ship,
1278,Adnams Southwold Bitter,
1278,Brooklyn Lager,
1278,Budweiser Budvar,
1278,Kopparberg Naked Apple,
1278,Kopparberg Pear Cider,
1278,Kopparberg Strawberry & Lime,
1279,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1279,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1279,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1279,Andes Peak Sauvignon Blanc,"A medium bodied, soft round wine."
