menuId,ProductName,ProductDescription,term
1257,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1257,"Bollinger Rose NV","Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants.",Bollinger
1257,"Bollinger Special Cuvee NV","Bollinger is one of the oldest family houses still in existence in Champagne, their methods have little changed and their wines are still outstanding.",Bollinger
1262,"7Up Free",,"7 Up"
1264,7Up,,"7 Up"
1271,"BAILEYS LATTE","The classic drink that's an espresso lengthened by hot milk is enriched and lifted by a pour of delicious Baileys Original Irish Cream, adding a subtle creaminess",Baileys
1271,"Baileys Arctic Orange","Enjoy a cool blend of Baileys and Grand Marnier lavishly blended with real vanilla ice cream",Baileys
1271,"Baileys Arctic Orange","Enjoy a cool blend of Baileys and Grand Marnier lavishly blended with real vanilla ice cream","Grand Marnier"
1271,"Baileys & Coffee (Hitchhiker)","Coffee with a Baileys Original chaser on the side!",Baileys
1271,"Baileys Americano","Add a little Baileys to your coffee!",Baileys
1271,"BAILEYS HOT CHOCOLATE","Decadent & delicious, creamy Baileys and hot chocolate. What's not to like?",Baileys
1271,"Baileys & Coffee (Nordics & Eastn Eur)","Add a little Baileys to your coffee!",Baileys
1271,"Baileys Birthday cake","Baileys topped with whipped cream and sprinkles",Baileys
1278,"Bollinger Rose NV","Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants.",Bollinger
1278,"Brooklyn Lager",,Brooklyn
1278,"Budweiser Budvar",,Budweiser
1279,"Bollinger Rose NV","Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants.",Bollinger
1279,"Brooklyn Lager",,Brooklyn
1279,"Budweiser Budvar",,Budweiser
1280,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1301,Asahi,,Asahi
1301,"Smirnoff Red Vodka Mojito","Fresh mint and citrus combined with Smirnoff Red Vodka for a cool and invigorating long drink.",Smirnoff
1301,"Pampero Blanco Rum Daiquiri","Enjoy the sweet and creamy taste of Pampero Blanco Rum shaken in a zesty drink with fresh raspberry.",Pampero
1302,Asahi,,Asahi
1302,"Smirnoff Red Vodka Mojito","Fresh mint and citrus combined with Smirnoff Red Vodka for a cool and invigorating long drink.",Smirnoff
1302,"Pampero Blanco Rum Daiquiri","Enjoy the sweet and creamy taste of Pampero Blanco Rum shaken in a zesty drink with fresh raspberry.",Pampero
1303,Asahi,,Asahi
1303,"Smirnoff Red Vodka Mojito","Fresh mint and citrus combined with Smirnoff Red Vodka for a cool and invigorating long drink.",Smirnoff
1303,"Pampero Blanco Rum Daiquiri","Enjoy the sweet and creamy taste of Pampero Blanco Rum shaken in a zesty drink with fresh raspberry.",Pampero
1331,"Yellow Tail Sauvignon Blanc","Pale straw in colour with vibrant citrus, passion fruit and fresh grassy scents on the nose and a tantalising palate of limes, tropical fruit and green apples.","Yellow Tail"
1331,"Yellowtail Pinot Grigio","Fresh, zesty and elegant with citrus fruits with delicate notes of green apples and pears.","Yellow Tail"
1331,"Yellowtail Shiraz","Berry and smooth vanilla aromas. Subdued earthy tones with soft ripe sweetness.","Yellow Tail"
1332,7Up,,"7 Up"
1360,"Jack Rabbit Merlot","This Merlot is smooth and fruity and full of berry flavours. Ideal if you like your red wines mellow.","R Wines"
1360,"Scruffy Dog Chardonnay","Dry - Fresh - Lively",Scruffy
1360,"Scruffy Dog Zinfandel Rose","Delicate - Floral - Light",Scruffy
1360,"Scruffy Dog Merlot","Soft - Plummy - Indulgent",Scruffy
1394,"7Up Free",,"7 Up"
1394,"7Up Free",,"7 Up"
1400,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1403,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1406,"100% Nacional","Pampero Selección 1938 Rum with lemon, tamarind and Venezuelan Papelón juices.",Pampero
1407,"Apple Martini with Smirnoff","Savour the cool taste of Smirnoff No.21 Vodka with a splash of apple liquor, topped with an apple slice.",Martini
1407,"Apple Martini with Smirnoff","Savour the cool taste of Smirnoff No.21 Vodka with a splash of apple liquor, topped with an apple slice.",Smirnoff
1407,"Baileys Arctic Orange","Enjoy a cool blend of Baileys and Grand Marnier lavishly blended with real vanilla ice cream",Baileys
1407,"Baileys Arctic Orange","Enjoy a cool blend of Baileys and Grand Marnier lavishly blended with real vanilla ice cream","Grand Marnier"
1407,"Baileys Chocolat Luxe Mocha Mint Martini","Baileys Chocolat Luxe, a hit of espresso and just a hint of mint freshness, served in a Martini glass",Baileys
1407,"Baileys Chocolat Luxe Mocha Mint Martini","Baileys Chocolat Luxe, a hit of espresso and just a hint of mint freshness, served in a Martini glass",Martini
1407,"Captain Morgan Spiced Gold Cuba Libre","A rich and spicy mix of fresh lime, Captain Morgan Spiced Rum and cola.","Captain Morgan"
1407,"Don Julio®La Primavera","Fresh lime and aromatic mint leaves with the crisp agave flavour of Don Julio® Blanco.","Don Julio"
1407,"Don Julio®La Primavera","Fresh lime and aromatic mint leaves with the crisp agave flavour of Don Julio® Blanco.","Don Julio"
1407,"Grand Julio Margarita","The ultimate Margarita. Don Julio tequila
shaken with Grand Marnier and fresh lime.","Don Julio"
1407,"Grand Julio Margarita","The ultimate Margarita. Don Julio tequila
shaken with Grand Marnier and fresh lime.","Grand Marnier"
1407,"Johnnie Walker Gold Rush","Enjoy the creamy Johnnie Walker Gold Label, with a touch of sugar, lemon and egg white.","Johnnie Walker"
1407,"Lime Smirnoff and Cola","The refreshingly tasty combination of Smirnoff Lime Vodka and Cola.",Smirnoff
1407,"Mexico Fresh","Enjoy the rich, elegant taste of Don Julio Reposado tequila combined with fresh grapefruit juice.","Don Julio"
1412,"7 Up Free","Lemon Lime soft drink containing 100% natural lemon and lime flavours","7 Up"
1412,"7 Up Free","Lemon Lime soft drink containing 100% natural lemon and lime flavours","7 Up"
1415,"Absolut Vodka",,Absolut
1415,"Absolut Pears",,Absolut
1415,"Absolut Mandrin",,Absolut
1417,7Up,,"7 Up"
1418,"Veuve Clicquot Yellow Label NV","Full-bodied, rich and fruity with great elegance and a delightful long finish. A full, dry, rounded champagne of high quality.","Veuve Clicquot"
1418,"Veuve Clicquot Rose NV","A generous fine nose and charms through fresh, fruity hints of raspberry, forest fruits and ripe cherries.","Veuve Clicquot"
1418,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1420,"Brooklyn Lager","Brooklyn lager is amber-gold in colour and displays a firm malt centre supported by a refreshing bitterness and floral hop aroma. Caramel malts show in the finish.",Brooklyn
1422,"Veuve Clicquot Yellow Label NV","Full-bodied, rich and fruity with great elegance and a delightful long finish. A full, dry, rounded Champagne of high quality.","Veuve Clicquot"
1422,"Veuve Clicquot Rosé NV","A generous fine nose and charms through fresh, fruity hints of raspberry, forest fruits and ripe cherries.","Veuve Clicquot"
1422,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1425,"Brooklyn Lager","Brooklyn lager is amber-gold in colour and displays a firm malt centre supported by a refreshing bitterness and floral hop aroma. Caramel malts show in the finish.",Brooklyn
1427,7Up,,"7 Up"
1428,"Smirnoff Electric Apple shot","Smirnoff intensely sour spirit shot with apple flavours.",Smirnoff
1428,"Smirnoff Electric Berry shot","Smirnoff intensely sour spirit shot with berry flavours.",Smirnoff
1428,B-52,"This cocktail combines intensity and smoothness with the sweet flavours of Grand Marnier","Grand Marnier"
1428,"Don Julio Blanco shot","Enjoy a chilled shot of Don Julio Blanco with its crisp agave flavor and hints of citrus","Don Julio"
1428,"Don Julio Blanco shot","Enjoy a chilled shot of Don Julio Blanco with its crisp agave flavor and hints of citrus","Don Julio"
1428,"Don Julio Anejo shot","Enjoy chilled for a rich and distinctive flavor, the perfect balance of agave, wood and vanilla notes.","Don Julio"
1428,"Smirnoff Gold","Enjoy the cinnamon sensation of Smirnoff Gold, with real gold leaf.",Smirnoff
1428,"Baileys The Princess and the Pirate","Enjoy a shot of Baileys with a touch of Capitan Morgan Spiced for a smooth & creamy taste sensation",Baileys
1428,"Captain Morgan Spiced & Cola","A rich and mellow combination of Captain Morgan Spiced and cola.","Captain Morgan"
1428,"Captain Morgan and Sparkling orange","Enjoy Captain Morgan Spiced and sparkling orange, citrussy with a hint of vanilla.","Captain Morgan"
1428,"Cuba Libre","Savour the taste of Pampero Oro Rum with Cola and Lemon Juice, finished with Angostura bitters.",Angostura
