TermId,Term
102,1664
241,1800
79,3er Probierbrett
85,42 Below
82,5er Probierbrett
117,7 Up
507,Abbazia Monte Oliveto
15,Aberfeldy
595,Aberlour
314,Absolut
498,Ace of Spades
197,Acqua Panna
198,Affligem
315,Aguila
534,Aix
251,Aldaris 1865
487,Alfredo
80,Alsterwasser Alkoholfrei Glas
78,Alsterwasser Glas
282,Amber Bay
199,Amstel
535,Anakena
76,Angelo Pale Ale Glas
316,Angostura
536,Antares
426,Antioqueno
317,Aperol
227,Apotekarnes
430,Appleton Estate
471,Arbikie
532,Archers
537,Archers
219,Ardmore
136,Arendals
318,Asahi
59,Astra
611,Atlantic Pale Ale
226,Auchentoshan
16,Aultmore
431,Averna
319,Aviation
465,Aviation Gin
17,B&B
10,Bacardi
118,Backyard Brew
200,Badoit
137,Baileys
248,Baltika
189,Bandida do Pomar
11,Banks
499,Banrock Station
240,Barbaresso
508,Barboursville Vineyards
422,Barcelo
196,Baron Otard
334,Barons de Rothschild
570,Batasiolo
505,Batch X
138,Battery
39,Beck`s
295,Beefeater
320,Bell's
321,Bellerose
260,Belsazar
571,Beluga
322,Belvedere
403,Belvoir
488,Bendito
33,Benedictine
497,Berne Selection
572,Bio Bio
578,Bisol
47,Bitburger
300,Black Box
242,Black Bush
301,Black Velvet
445,Black Velvet
323,blanche de Namur
591,Blindos
258,Bluetails
259,Bluetails
579,Bodegas Navajas
577,BodegasNavajas
335,Bollinger
324,Bols
2,Bombay
509,Borgo San Leo
34,Bosford
325,Boulard
221,Bowmore
326,Brahma
576,Branca
201,BrewDog
86,Brewmasters
60,Brooklyn
273,Brora
327,Brugal
524,Bruichladdich
328,Buckler
329,Bud Light
139,Budweiser
330,Bulldog
263,Bulleit
586,Bundaberg
87,Burn
243,Bushmills
510,Ca'Bolani
293,Cacique
612,Caffreys
495,Callaway
18,Camino
400,Campari
404,Canada Dry
302,Canada House
303,Canadian Club
336,Canard-Duchene
575,Cao Illa
266,Caol Ila
262,Captain Morgan
405,Caraïbos
275,Cardhu
331,Carling
61,Carlsberg
332,Carlton
119,Carneige Porter
448,Carolans
264,Casamigos
